time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.648000,1,0.226403,0.725572,1.568224,-0.282340,-0.523285,1.208118
0.648000,1,0.226403,0.725572,1.568224,-0.282340,-0.523285,1.208118
0.650000,1,0.226133,0.725321,1.566205,-0.282510,-0.523151,1.208435
0.652000,1,0.225860,0.724983,1.563880,-0.282690,-0.523010,1.208717
0.654000,1,0.225567,0.724561,1.561094,-0.282873,-0.522866,1.208967
0.658000,1,0.224943,0.723460,1.554241,-0.283252,-0.522570,1.209378
0.660000,1,0.224639,0.722772,1.550317,-0.283449,-0.522416,1.209542
0.662000,1,0.224399,0.721979,1.546480,-0.283663,-0.522246,1.209681
0.662000,1,0.224399,0.721979,1.546480,-0.283663,-0.522246,1.209681
0.664000,1,0.224226,0.721078,1.542738,-0.283894,-0.522061,1.209795
0.666000,1,0.224098,0.720076,1.538908,-0.284135,-0.521867,1.209885
0.668000,1,0.223994,0.718971,1.534822,-0.284379,-0.521666,1.209953
0.672000,1,0.223743,0.716540,1.524894,-0.284849,-0.521295,1.210039
0.672000,1,0.223743,0.716540,1.524894,-0.284849,-0.521295,1.210039
0.674000,1,0.223574,0.715243,1.518834,-0.285067,-0.521142,1.210064
0.678000,1,0.223449,0.713882,1.512581,-0.285291,-0.520998,1.210080
0.678000,1,0.223382,0.712443,1.506169,-0.285519,-0.520858,1.210090
0.680000,1,0.223371,0.710927,1.499604,-0.285751,-0.520721,1.210093
0.682000,1,0.223421,0.709334,1.492896,-0.285987,-0.520587,1.210089
0.686000,1,0.223700,0.705913,1.479035,-0.286468,-0.520327,1.210066
0.688000,1,0.223700,0.705913,1.479035,-0.286468,-0.520327,1.210066
0.688000,1,0.223928,0.704080,1.471902,-0.286713,-0.520198,1.210046
0.690000,1,0.224237,0.702162,1.464853,-0.286969,-0.520062,1.210019
0.692000,1,0.224608,0.700144,1.457757,-0.287229,-0.519916,1.209982
0.696000,1,0.225510,0.695814,1.443252,-0.287762,-0.519598,1.209881
0.698000,1,0.225980,0.693562,1.435256,-0.288016,-0.519462,1.209830
0.698000,1,0.225980,0.693562,1.435256,-0.288016,-0.519462,1.209830
0.700000,1,0.226471,0.691270,1.426857,-0.288265,-0.519344,1.209780
0.702000,1,0.227017,0.688920,1.418333,-0.288517,-0.519234,1.209728
0.704000,1,0.227605,0.686495,1.409592,-0.288769,-0.519126,1.209673
0.706000,1,0.228273,0.683991,1.400994,-0.289032,-0.519010,1.209613
0.708000,1,0.229022,0.681366,1.392607,-0.289308,-0.518866,1.209543
0.710000,1,0.229985,0.678685,1.385564,-0.289634,-0.518689,1.209463
